@_STATE,State,GENHLTH_18
1,Alabama,2.796548592
2,Alaska,2.525743292
4,Arizona,2.639634071
5,Arkansas,2.925373134
6,California,2.564141287
8,Colorado,2.459152714
9,Connecticut,2.396862452
10,Delaware,2.63271546
11,DC,2.417329998
12,Florida,2.685277523
13,Georgia,2.643847394
15,Hawaii,2.525503101
16,Idaho,2.567099567
17,Illinois,2.557503771
18,Indianna,2.71871714
19,Iowa,2.511011285
20,Kansas,2.56800961
21,Kentucky,2.839143659
22,Louisiana,2.68604878
23,Maine,2.585999453
24,Maryland,2.55106577
25,Massachusetts,2.428100165
26,Michigan,2.615675257
27,Minnesota,2.433019423
28,Mississippi,2.895601575
29,Missouri,2.746268657
30,Montana,2.578034682
31,Nebraska,2.532253656
32,Nevada,2.672563625
33,New Hampshire,2.475684155
34,New Jersey,2.518770227
35,New Mexico,2.691047222
36,New York,2.567226773
37,North Carolina,2.645379573
38,North Dakota,2.577730345
39,Ohio,2.697328214
40,Oklahoma,2.733866362
41,Oregon,2.572653885
42,Pennsylvania,2.584097859
44,Rhode Island,2.541287676
45,South Carolina,2.709305543
46,South Dakota,2.577106742
47,Tennessee,2.78372093
48,Texas,2.680306677
49,Utah,2.463978037
50,Vermont,2.444987775
51,Virginia,2.574750509
53,Washington,2.545579268
54,West Virginia,2.86134368
55,Wisconsin,2.571257006
56,Wyoming,2.551098162
66,Guam,2.809610706
72,Puerto Rico,2.970472847
